name,rut,gender,birth_date,observation_date,heart_rate,diastolic_blood_pressure,systolic_blood_pressure
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-08-05,71,84.1,120.2
Vicente Gabriel Valdebenito Guerra,17926353-k,male,1957-12-18,2002-11-07,87,80.0,114.9
María Julieta Rodriguez Espinoza,12442036-9,female,1955-10-01,1985-04-23,70,81.3,114.2
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-11-15,70,82.5,117.1
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2003-01-31,87,87.6,119.9
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,1997-08-09,80,75.6,106.2
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-01-11,64,98.0,140.5
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2017-12-30,64,94.3,132.3
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2010-02-17,85,80.7,109.9
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,2009-03-06,73,91.4,129.0
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2011-01-21,87,88.8,125.6
Tomás José Jara Gallardo,13325727-6,male,1975-12-01,1985-02-19,87,95.5,138.0
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2007-08-25,95,73.8,101.7
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2019-03-26,62,84.7,119.6
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2017-03-23,93,91.0,127.3
Vicente Gabriel Valdebenito Guerra,17926353-k,male,1957-12-18,1988-11-11,92,88.6,125.1
Vicente Gabriel Valdebenito Guerra,17926353-k,male,1957-12-18,1985-05-15,86,90.4,129.5
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2015-09-26,91,97.8,140.3
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2012-07-22,87,87.1,123.0
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2017-12-04,86,76.3,107.7
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2017-04-29,91,86.6,121.4
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,2020-05-18,79,98.7,139.4
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2021-03-08,66,84.3,119.5
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2015-02-07,100,77.2,109.1
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2007-07-06,94,87.1,123.1
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,2008-03-08,90,78.0,112.0
Isabella Sofía Guerrero Perez,11554536-1,female,2020-12-03,2021-06-18,59,92.2,130.7
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,1995-07-06,70,76.3,108.1
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2020-10-01,73,80.3,110.6
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2019-01-08,63,91.3,127.7
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2008-07-26,85,84.7,119.8
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1989-03-19,92,87.1,122.0
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1981-07-28,90,73.4,103.6
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,2001-10-20,97,101.0,142.0
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-05-27,70,85.9,123.4
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2009-02-16,81,86.5,123.1
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2006-07-14,91,84.8,119.1
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2010-02-15,96,85.1,118.5
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2014-06-08,84,82.8,115.6
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,1994-06-22,69,88.6,126.3
Isabella Sofía Guerrero Perez,11554536-1,female,2020-12-03,2021-05-10,69,79.8,109.6
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2010-04-06,93,96.4,136.5
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,1992-07-02,89,81.2,114.2
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-12-06,74,84.5,117.6
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-10-09,71,85.5,120.2
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2018-12-25,95,87.0,121.4
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2017-09-17,85,85.2,121.7
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1989-08-21,85,97.3,140.7
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,2007-06-21,82,77.4,107.1
Trinidad Maite Caceres Araneda,15267051-6,female,1968-08-17,1980-09-15,66,83.7,119.4
Trinidad Maite Caceres Araneda,15267051-6,female,1968-08-17,1987-02-15,71,70.0,98.5
Vicente Gabriel Valdebenito Guerra,17926353-k,male,1957-12-18,1981-05-04,88,72.2,99.3
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,2016-04-29,74,72.3,101.7
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,1989-04-16,89,85.9,120.6
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,1995-06-22,81,90.0,125.0
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2013-08-10,102,82.1,116.8
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2018-07-21,74,84.1,117.6
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2018-05-12,90,77.5,109.3
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2020-03-01,66,94.3,134.6
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2020-01-28,96,81.2,115.1
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,1988-05-20,91,81.1,114.5
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,2014-12-07,92,86.4,123.4
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1983-01-28,96,96.2,136.6
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2019-12-28,74,101.0,143.3
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2018-02-15,75,85.0,120.2
Tomás José Jara Gallardo,13325727-6,male,1975-12-01,1997-08-26,81,83.4,117.5
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,2017-09-05,82,87.5,124.9
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2014-05-27,70,74.0,104.8
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2019-12-21,66,78.8,109.6
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2019-09-30,75,89.3,126.9
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2010-07-16,102,76.6,104.5
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,1974-02-01,83,84.9,118.3
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2015-05-07,99,87.6,127.8
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,2016-02-02,86,96.0,138.1
María Julieta Rodriguez Espinoza,12442036-9,female,1955-10-01,1963-01-05,67,84.6,119.8
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2009-06-12,91,91.8,130.2
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-04-14,69,70.5,99.4
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,1975-11-24,63,92.1,130.1
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2019-12-24,66,84.3,119.8
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,2015-03-16,62,93.3,131.1
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,1984-11-12,86,81.6,113.2
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2019-08-25,73,70.7,96.7
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2010-10-12,93,76.6,106.9
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2006-02-24,85,77.4,107.9
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2019-06-22,91,80.7,112.3
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-01-18,66,97.6,138.2
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,2017-04-14,90,94.6,134.4
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2018-06-06,85,69.6,98.0
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,1994-01-05,95,94.8,133.3
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2016-08-07,64,84.1,116.3
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,1984-04-15,84,82.3,117.5
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2018-09-07,89,86.0,121.3
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2017-06-11,83,97.7,139.8
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1981-09-06,100,94.4,131.5
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-08-26,69,78.9,112.7
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,2010-03-04,77,109.1,158.3
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2020-12-29,76,76.4,108.1
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2010-05-16,78,90.3,128.7
Vicente Gabriel Valdebenito Guerra,17926353-k,male,1957-12-18,1982-03-10,91,96.3,136.7
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2003-06-23,88,83.9,116.3
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2009-02-26,89,77.8,110.2
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1981-08-21,91,86.3,122.0
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,1977-02-04,61,76.2,106.9
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2012-06-08,68,82.3,114.8
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,2020-07-04,93,88.5,124.8
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,2010-01-27,79,94.3,132.9
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2004-04-04,98,85.9,119.7
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1978-11-25,95,80.8,112.9
María Julieta Rodriguez Espinoza,12442036-9,female,1955-10-01,1991-04-07,77,83.1,120.4
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,1997-04-15,72,103.8,145.5
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2018-11-27,88,73.6,103.6
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1985-02-17,102,91.3,127.9
Isabella Sofía Guerrero Perez,11554536-1,female,2020-12-03,2021-06-10,65,89.6,125.4
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1982-09-22,87,82.5,118.3
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2021-03-14,66,97.5,137.6
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,2005-02-26,63,76.3,105.5
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,1975-08-13,93,87.6,124.7
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,2021-05-10,64,84.4,117.7
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2000-07-08,90,85.3,119.2
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2016-12-20,92,86.6,122.9
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,1976-08-30,89,64.9,91.4
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2013-05-31,73,79.7,111.2
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-05-17,68,82.5,115.2
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,2017-06-11,64,111.9,160.9
Trinidad Maite Caceres Araneda,15267051-6,female,1968-08-17,1975-09-22,70,84.4,118.9
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2015-07-10,89,87.0,125.6
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2001-02-27,87,89.1,124.5
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,1959-04-19,72,68.3,96.3
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1985-12-12,77,93.2,134.3
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,2004-03-20,92,81.4,118.2
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2019-02-08,86,90.3,125.3
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,2009-04-30,70,110.0,155.4
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2012-12-22,87,82.2,115.7
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,1989-07-20,95,95.6,135.1
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,2000-06-14,86,91.9,130.2
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,2000-02-15,97,94.1,134.8
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,2009-11-28,72,83.2,117.8
Isabella Sofía Guerrero Perez,11554536-1,female,2020-12-03,2020-12-05,64,90.1,124.9
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2018-11-23,94,84.2,121.3
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,2007-05-26,95,89.3,128.0
Vicente Gabriel Valdebenito Guerra,17926353-k,male,1957-12-18,1976-10-12,90,77.4,110.6
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2018-09-12,74,81.4,115.1
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2016-12-20,86,85.6,120.0
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1974-11-10,86,82.9,117.8
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2020-12-17,69,78.2,111.4
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2012-12-31,91,77.0,108.0
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1996-07-31,93,85.9,124.3
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-03-22,60,78.5,110.7
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,1991-07-09,88,84.1,117.6
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2017-01-25,74,83.8,118.3
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,2006-10-30,66,74.9,105.5
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2004-06-01,84,82.5,117.9
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2014-05-16,74,76.8,108.6
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,1997-05-22,86,91.9,130.3
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-11-08,79,71.1,100.2
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2016-10-03,71,91.3,127.9
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2015-04-05,71,82.2,114.7
Vicente Gabriel Valdebenito Guerra,17926353-k,male,1957-12-18,1971-02-23,95,81.7,115.4
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,1982-05-13,80,89.8,127.8
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2020-07-03,72,86.6,124.6
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1983-07-17,91,74.0,101.3
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2014-05-07,69,93.2,133.5
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,2018-05-26,74,86.0,122.3
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1988-09-20,80,81.1,114.1
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,1994-03-03,93,88.4,127.1
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1985-06-27,91,85.1,119.2
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2012-08-25,66,92.9,131.9
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2018-02-02,69,84.9,119.5
María Julieta Rodriguez Espinoza,12442036-9,female,1955-10-01,1965-07-23,77,80.7,113.8
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2015-08-07,79,88.0,125.5
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2012-12-12,101,76.5,107.2
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1978-02-04,91,85.9,123.5
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-03-23,69,88.2,124.0
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2017-03-08,67,85.2,121.6
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2008-06-05,87,96.7,139.0
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2016-03-27,70,84.6,122.0
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,2011-10-18,67,86.6,120.6
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2013-11-13,86,81.3,114.5
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2008-08-04,89,85.2,118.7
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2001-04-19,90,90.9,130.5
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2021-03-02,67,92.7,132.5
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2010-04-02,90,81.5,115.5
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,1987-12-17,70,86.8,122.9
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-11-03,72,90.4,128.7
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2019-09-03,67,88.3,124.3
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1995-04-14,86,75.3,105.8
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2021-06-13,66,80.2,110.5
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-07-30,61,78.8,111.1
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1998-03-18,96,87.2,123.8
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2019-01-16,90,98.3,137.1
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-02-19,69,88.5,125.2
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,1982-11-09,73,75.4,105.7
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1979-07-24,91,83.9,118.7
Vicente Gabriel Valdebenito Guerra,17926353-k,male,1957-12-18,1974-01-22,90,82.4,117.0
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2015-03-08,64,82.5,115.0
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2012-04-10,93,84.5,118.3
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2011-11-22,92,80.2,113.4
Vicente Gabriel Valdebenito Guerra,17926353-k,male,1957-12-18,1995-02-04,93,94.6,131.4
María Julieta Rodriguez Espinoza,12442036-9,female,1955-10-01,2018-01-01,67,118.5,167.4
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,1974-01-25,85,88.0,123.3
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,2005-09-12,63,118.9,170.6
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,2010-02-18,95,79.0,111.3
Isabella Sofía Guerrero Perez,11554536-1,female,2020-12-03,2021-01-21,74,91.7,129.0
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2014-12-17,64,87.4,119.6
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2005-05-22,90,86.7,122.4
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,2008-09-09,92,91.6,130.5
Gabriel Gaspar Lobos Zuñiga,16278919-8,non_binary,1969-04-04,1980-09-01,59,75.4,108.3
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,1995-03-10,99,77.2,108.5
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,1996-07-27,56,94.5,136.7
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2021-06-15,68,80.2,112.8
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,2018-12-07,70,77.7,109.0
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2020-08-31,79,88.6,126.1
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,1995-03-20,70,81.4,113.4
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1990-09-10,82,83.0,115.2
María Julieta Rodriguez Espinoza,12442036-9,female,1955-10-01,2004-03-24,70,86.4,123.1
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,1988-05-03,66,83.3,117.3
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-06-26,72,85.9,124.4
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2015-08-12,89,81.7,114.6
María Julieta Rodriguez Espinoza,12442036-9,female,1955-10-01,1977-04-08,76,89.3,129.1
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2009-04-16,94,79.9,111.6
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2010-07-06,94,81.9,115.0
Isabella Sofía Guerrero Perez,11554536-1,female,2020-12-03,2020-12-11,76,86.8,120.5
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-03-31,75,84.1,118.6
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2015-06-20,86,86.3,122.6
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2017-02-07,72,83.1,118.4
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2011-08-05,88,92.8,132.2
Vicente Gabriel Valdebenito Guerra,17926353-k,male,1957-12-18,1968-07-15,92,95.9,136.8
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-08-28,67,80.4,111.5
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,2019-11-22,82,81.3,113.9
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2000-05-16,93,93.4,131.0
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2015-03-31,69,82.9,117.6
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2016-08-31,93,85.1,118.6
María Julieta Rodriguez Espinoza,12442036-9,female,1955-10-01,1998-08-16,67,85.8,120.6
Isabella Sofía Guerrero Perez,11554536-1,female,2020-12-03,2021-03-07,71,80.1,113.4
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2014-04-20,68,84.8,121.4
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,1997-07-29,89,73.5,101.9
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2020-05-16,89,87.8,123.9
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,2008-09-13,65,82.5,114.9
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1981-05-22,84,85.9,121.6
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2017-04-08,64,90.8,128.1
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,1994-09-22,99,88.0,124.2
María Julieta Rodriguez Espinoza,12442036-9,female,1955-10-01,1980-02-29,69,82.5,114.8
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2014-06-27,88,91.0,130.8
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2016-08-06,68,93.8,134.8
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2016-07-19,92,90.2,124.9
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1985-12-03,99,88.3,125.6
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2015-01-10,70,90.1,125.0
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1976-06-13,82,92.1,132.2
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2018-03-30,84,89.4,125.0
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-02-13,72,86.8,123.5
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2004-07-26,96,81.4,114.8
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2019-02-04,72,83.0,115.6
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,2003-03-16,93,86.4,119.8
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2003-11-26,93,73.9,100.8
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2015-06-08,88,89.9,123.8
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2008-09-20,85,82.3,115.4
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1980-04-23,93,100.3,141.4
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2015-11-02,77,104.0,148.0
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,2018-01-27,68,86.4,121.0
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,1979-02-01,91,84.4,118.8
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,2011-05-10,83,72.8,102.4
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2017-08-31,64,89.1,126.8
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,2001-12-22,89,84.6,117.8
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,1989-02-06,64,67.1,92.5
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2015-11-12,70,77.1,107.9
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2008-10-05,86,81.6,112.4
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-09-14,78,79.9,111.1
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,1992-02-18,61,81.2,119.8
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1988-11-20,93,73.7,102.5
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,2013-10-29,84,81.7,115.5
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2016-03-03,90,83.9,119.5
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2011-08-03,83,81.8,114.5
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2010-05-19,90,80.8,114.8
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2010-09-28,93,83.5,114.3
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1978-08-29,97,94.5,135.5
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2008-02-14,89,88.0,124.2
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,2006-01-07,68,102.8,144.9
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2003-07-15,92,93.7,130.5
Tomás José Jara Gallardo,13325727-6,male,1975-12-01,1994-12-16,82,81.0,112.6
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1993-10-31,81,82.2,115.2
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1985-12-12,88,73.2,101.6
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2015-10-08,83,99.4,142.7
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2014-03-04,84,84.9,120.7
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2016-07-31,70,87.9,122.2
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,1986-11-28,98,88.0,124.5
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2012-08-03,66,81.3,116.5
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2007-11-06,81,89.8,127.8
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,2012-12-05,70,119.1,171.9
Trinidad Maite Caceres Araneda,15267051-6,female,1968-08-17,1999-02-02,62,78.3,111.3
